,annual_payroll,industry,sex,ethnicity,race,buschar_label,number_of_firms,firmpdemp_f,revenue,number_of_employees
769,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Nonminority,Item not reported,0,S,0,0
770,231453,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Total,All firms,457,,0,4118
771,29592,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Total,Family-owned,165,,0,891
772,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Total,Not family-owned,0,S,0,0
773,36999,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Total,Total reporting,192,,0,1008
774,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Total,Item not reported,0,D,0,0
775,136338,Mining/Quarrying/Oil&Gas Extraction,Male,Total,Total,All firms,141,,0,2411
776,3512,Mining/Quarrying/Oil&Gas Extraction,Male,Total,Total,Family-owned,39,,0,318
777,0,Mining/Quarrying/Oil&Gas Extraction,Male,Total,Total,Not family-owned,0,S,0,0
778,0,Mining/Quarrying/Oil&Gas Extraction,Male,Total,Total,Total reporting,0,S,0,0
779,95115,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Total,Total,All firms,315,,0,1707
780,0,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Total,Total,Family-owned,0,S,0,0
781,0,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Total,Total,Not family-owned,0,D,0,0
782,0,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Total,Total,Total reporting,0,S,0,0
783,0,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Total,Total,Item not reported,0,D,0,0
784,0,Mining/Quarrying/Oil&Gas Extraction,Total,Equally Hispanic/non-Hispanic,Total,All firms,0,S,0,0
785,0,Mining/Quarrying/Oil&Gas Extraction,Total,Equally Hispanic/non-Hispanic,Total,Family-owned,0,D,0,0
786,0,Mining/Quarrying/Oil&Gas Extraction,Total,Equally Hispanic/non-Hispanic,Total,Total reporting,0,D,0,0
787,221495,Mining/Quarrying/Oil&Gas Extraction,Total,Non-Hispanic,Total,All firms,428,,0,3877
788,29501,Mining/Quarrying/Oil&Gas Extraction,Total,Non-Hispanic,Total,Family-owned,160,,0,886
789,0,Mining/Quarrying/Oil&Gas Extraction,Total,Non-Hispanic,Total,Not family-owned,0,S,0,0
790,36908,Mining/Quarrying/Oil&Gas Extraction,Total,Non-Hispanic,Total,Total reporting,187,,0,1003
791,0,Mining/Quarrying/Oil&Gas Extraction,Total,Non-Hispanic,Total,Item not reported,0,D,0,0
792,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Equally minority/nonminority,All firms,0,S,0,0
793,4625,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Equally minority/nonminority,Family-owned,5,,0,79
794,4625,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Equally minority/nonminority,Total reporting,5,,0,79
795,182249,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Nonminority,All firms,415,,0,3533
796,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Nonminority,Family-owned,0,S,0,0
797,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Nonminority,Not family-owned,0,S,0,0
798,32374,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Nonminority,Total reporting,186,,0,929
799,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Nonminority,Item not reported,0,D,0,0
800,18665217,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Total,All firms,15933,,0,240027
801,1693899,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Total,Family-owned,2587,,0,22842
802,1868928,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Total,Not family-owned,3516,,0,26645
803,3562827,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Total,Total reporting,6104,,0,49488
804,139730,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Total,Item not reported,511,,0,2811
805,1465733,Mining/Quarrying/Oil&Gas Extraction,Female,Total,Total,All firms,1865,,0,18615
806,227678,Mining/Quarrying/Oil&Gas Extraction,Female,Total,Total,Family-owned,393,,0,3082
807,66694,Mining/Quarrying/Oil&Gas Extraction,Female,Total,Total,Not family-owned,341,,0,1237
808,294372,Mining/Quarrying/Oil&Gas Extraction,Female,Total,Total,Total reporting,734,,0,4319
809,34552,Mining/Quarrying/Oil&Gas Extraction,Female,Total,Total,Item not reported,29,,0,542
810,15826048,Mining/Quarrying/Oil&Gas Extraction,Male,Total,Total,All firms,11112,,0,200120
811,1034757,Mining/Quarrying/Oil&Gas Extraction,Male,Total,Total,Family-owned,1066,,0,13073
812,1787790,Mining/Quarrying/Oil&Gas Extraction,Male,Total,Total,Not family-owned,3123,,0,25168
813,2822546,Mining/Quarrying/Oil&Gas Extraction,Male,Total,Total,Total reporting,4190,,0,38241
814,101505,Mining/Quarrying/Oil&Gas Extraction,Male,Total,Total,Item not reported,433,,0,2104
815,1373436,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Total,Total,All firms,2954,,0,21292
816,431465,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Total,Total,Family-owned,1130,,0,6688
817,14444,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Total,Total,Not family-owned,53,,0,240
818,445909,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Total,Total,Total reporting,1183,,0,6928
819,3672,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Total,Total,Item not reported,50,,0,164
820,411064,Mining/Quarrying/Oil&Gas Extraction,Total,Hispanic,Total,All firms,675,,0,6921
821,111827,Mining/Quarrying/Oil&Gas Extraction,Total,Hispanic,Total,Family-owned,106,,0,1834
822,74697,Mining/Quarrying/Oil&Gas Extraction,Total,Hispanic,Total,Not family-owned,161,,0,1184
823,186524,Mining/Quarrying/Oil&Gas Extraction,Total,Hispanic,Total,Total reporting,268,,0,3017
824,0,Mining/Quarrying/Oil&Gas Extraction,Total,Hispanic,Total,Item not reported,0,S,0,0
825,0,Mining/Quarrying/Oil&Gas Extraction,Total,Equally Hispanic/non-Hispanic,Total,All firms,0,S,0,0
826,0,Mining/Quarrying/Oil&Gas Extraction,Total,Equally Hispanic/non-Hispanic,Total,Family-owned,0,D,0,0
827,0,Mining/Quarrying/Oil&Gas Extraction,Total,Equally Hispanic/non-Hispanic,Total,Not family-owned,0,D,0,0
828,0,Mining/Quarrying/Oil&Gas Extraction,Total,Equally Hispanic/non-Hispanic,Total,Total reporting,0,S,0,0
829,18195766,Mining/Quarrying/Oil&Gas Extraction,Total,Non-Hispanic,Total,All firms,15192,,0,232429
830,1560027,Mining/Quarrying/Oil&Gas Extraction,Total,Non-Hispanic,Total,Family-owned,2469,,0,20761
831,1792987,Mining/Quarrying/Oil&Gas Extraction,Total,Non-Hispanic,Total,Not family-owned,3354,,0,25445
832,3353015,Mining/Quarrying/Oil&Gas Extraction,Total,Non-Hispanic,Total,Total reporting,5822,,0,46206
833,131598,Mining/Quarrying/Oil&Gas Extraction,Total,Non-Hispanic,Total,Item not reported,495,,0,2758
834,588309,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Minority,All firms,1023,,0,9614
835,134564,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Minority,Family-owned,186,,0,2157
836,102408,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Minority,Not family-owned,253,,0,1801
837,236972,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Minority,Total reporting,439,,0,3958
838,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Minority,Item not reported,0,S,0,0
839,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Equally minority/nonminority,All firms,0,S,0,0
840,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Equally minority/nonminority,Family-owned,0,S,0,0
841,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Equally minority/nonminority,Not family-owned,0,S,0,0
842,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Equally minority/nonminority,Total reporting,0,S,0,0
843,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Equally minority/nonminority,Item not reported,0,D,0,0
844,17978218,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Nonminority,All firms,14772,,0,229151
845,1532240,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Nonminority,Family-owned,2374,,0,20365
846,1764767,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Nonminority,Not family-owned,3256,,0,24817
847,3297006,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Nonminority,Total reporting,5632,,0,45182
848,125084,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Nonminority,Item not reported,483,,0,2691
849,20160257,Mining/Quarrying/Oil&Gas Extraction,Classifiable,Classifiable,Classifiable,All firms,17451,,0,258308
850,0,Mining/Quarrying/Oil&Gas Extraction,Classifiable,Classifiable,Classifiable,Family-owned,0,S,0,0
851,0,Mining/Quarrying/Oil&Gas Extraction,Classifiable,Classifiable,Classifiable,Not family-owned,0,S,0,0
852,0,Mining/Quarrying/Oil&Gas Extraction,Classifiable,Classifiable,Classifiable,Total reporting,0,S,0,0
853,0,Mining/Quarrying/Oil&Gas Extraction,Classifiable,Classifiable,Classifiable,Item not reported,0,S,0,0
854,40532470,Mining/Quarrying/Oil&Gas Extraction,Unclassifiable,Unclassifiable,Unclassifiable,All firms,1745,,0,379975
855,S,Mining/Quarrying/Oil&Gas Extraction,Unclassifiable,Unclassifiable,Unclassifiable,N/A2018,S,0.0,S,m
856,60692728,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Total,All firms,19195,,0,638283
857,1762807,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Total,Family-owned,2868,,0,24236
858,2073833,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Total,Not family-owned,3878,,0,30037
859,3836639,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Total,Total reporting,6746,,0,54273
860,141399,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Total,Item not reported,542,,0,2875
861,,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Total,N/A2018,,0.0,W,
862,1469442,Mining/Quarrying/Oil&Gas Extraction,Female,Total,Total,All firms,1891,,0,18667
863,228414,Mining/Quarrying/Oil&Gas Extraction,Female,Total,Total,Family-owned,398,,0,3097
864,67731,Mining/Quarrying/Oil&Gas Extraction,Female,Total,Total,Not family-owned,352,,0,1248
865,296145,Mining/Quarrying/Oil&Gas Extraction,Female,Total,Total,Total reporting,749,,0,4345
866,34552,Mining/Quarrying/Oil&Gas Extraction,Female,Total,Total,Item not reported,29,,0,542
867,17222115,Mining/Quarrying/Oil&Gas Extraction,Male,Total,Total,All firms,12278,,0,216642
868,1076699,Mining/Quarrying/Oil&Gas Extraction,Male,Total,Total,Family-owned,1204,,0,13879
869,1989182,Mining/Quarrying/Oil&Gas Extraction,Male,Total,Total,Not family-owned,3469,,0,28510
870,3065881,Mining/Quarrying/Oil&Gas Extraction,Male,Total,Total,Total reporting,4674,,0,42389
871,102964,Mining/Quarrying/Oil&Gas Extraction,Male,Total,Total,Item not reported,462,,0,2167
872,1468701,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Total,Total,All firms,3280,,0,22999
873,457694,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Total,Total,Family-owned,1266,,0,7260
874,16920,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Total,Total,Not family-owned,57,,0,279
875,474614,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Total,Total,Total reporting,1323,,0,7540
876,3883,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Total,Total,Item not reported,52,,0,166
877,411564,Mining/Quarrying/Oil&Gas Extraction,Total,Hispanic,Total,All firms,679,,0,6929
878,111827,Mining/Quarrying/Oil&Gas Extraction,Total,Hispanic,Total,Family-owned,106,,0,1834
879,74747,Mining/Quarrying/Oil&Gas Extraction,Total,Hispanic,Total,Not family-owned,165,,0,1184
880,186574,Mining/Quarrying/Oil&Gas Extraction,Total,Hispanic,Total,Total reporting,271,,0,3017
881,0,Mining/Quarrying/Oil&Gas Extraction,Total,Hispanic,Total,Item not reported,0,S,0,0
882,0,Mining/Quarrying/Oil&Gas Extraction,Female,Hispanic,Total,All firms,0,S,0,0
883,0,Mining/Quarrying/Oil&Gas Extraction,Female,Hispanic,Total,Family-owned,0,D,0,0
884,0,Mining/Quarrying/Oil&Gas Extraction,Female,Hispanic,Total,Not family-owned,0,D,0,0
885,707,Mining/Quarrying/Oil&Gas Extraction,Female,Hispanic,Total,Total reporting,6,,0,19
886,349872,Mining/Quarrying/Oil&Gas Extraction,Male,Hispanic,Total,All firms,526,,0,5514
887,91205,Mining/Quarrying/Oil&Gas Extraction,Male,Hispanic,Total,Family-owned,68,,0,1483
888,67978,Mining/Quarrying/Oil&Gas Extraction,Male,Hispanic,Total,Not family-owned,161,,0,1086
889,159183,Mining/Quarrying/Oil&Gas Extraction,Male,Hispanic,Total,Total reporting,229,,0,2569
890,0,Mining/Quarrying/Oil&Gas Extraction,Male,Hispanic,Total,Item not reported,0,S,0,0
891,0,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Hispanic,Total,All firms,0,S,0,0
892,20418,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Hispanic,Total,Family-owned,34,,0,344
893,0,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Hispanic,Total,Not family-owned,0,D,0,0
894,26684,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Hispanic,Total,Total reporting,36,,0,430
895,0,Mining/Quarrying/Oil&Gas Extraction,Total,Equally Hispanic/non-Hispanic,Total,All firms,0,S,0,0
896,0,Mining/Quarrying/Oil&Gas Extraction,Total,Equally Hispanic/non-Hispanic,Total,Family-owned,0,S,0,0
897,0,Mining/Quarrying/Oil&Gas Extraction,Total,Equally Hispanic/non-Hispanic,Total,Not family-owned,0,D,0,0
898,0,Mining/Quarrying/Oil&Gas Extraction,Total,Equally Hispanic/non-Hispanic,Total,Total reporting,0,S,0,0
899,14459,Mining/Quarrying/Oil&Gas Extraction,Male,Equally Hispanic/non-Hispanic,Total,All firms,8,,0,65
900,0,Mining/Quarrying/Oil&Gas Extraction,Male,Equally Hispanic/non-Hispanic,Total,Family-owned,0,D,0,0
901,0,Mining/Quarrying/Oil&Gas Extraction,Male,Equally Hispanic/non-Hispanic,Total,Total reporting,0,D,0,0
902,0,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Equally Hispanic/non-Hispanic,Total,All firms,0,S,0,0
903,0,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Equally Hispanic/non-Hispanic,Total,Family-owned,0,S,0,0
904,0,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Equally Hispanic/non-Hispanic,Total,Not family-owned,0,D,0,0
905,0,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Equally Hispanic/non-Hispanic,Total,Total reporting,0,S,0,0
906,19680348,Mining/Quarrying/Oil&Gas Extraction,Total,Non-Hispanic,Total,All firms,16674,,0,250462
907,1628844,Mining/Quarrying/Oil&Gas Extraction,Total,Non-Hispanic,Total,Family-owned,2745,,0,22150
908,1997841,Mining/Quarrying/Oil&Gas Extraction,Total,Non-Hispanic,Total,Not family-owned,3710,,0,28837
909,3626686,Mining/Quarrying/Oil&Gas Extraction,Total,Non-Hispanic,Total,Total reporting,6456,,0,50987
910,133267,Mining/Quarrying/Oil&Gas Extraction,Total,Non-Hispanic,Total,Item not reported,526,,0,2823
911,1467016,Mining/Quarrying/Oil&Gas Extraction,Female,Non-Hispanic,Total,All firms,1857,,0,18588
912,228210,Mining/Quarrying/Oil&Gas Extraction,Female,Non-Hispanic,Total,Family-owned,394,,0,3090
913,67228,Mining/Quarrying/Oil&Gas Extraction,Female,Non-Hispanic,Total,Not family-owned,349,,0,1236
914,295438,Mining/Quarrying/Oil&Gas Extraction,Female,Non-Hispanic,Total,Total reporting,742,,0,4326
915,34552,Mining/Quarrying/Oil&Gas Extraction,Female,Non-Hispanic,Total,Item not reported,29,,0,542
916,16857784,Mining/Quarrying/Oil&Gas Extraction,Male,Non-Hispanic,Total,All firms,11744,,0,211063
917,985489,Mining/Quarrying/Oil&Gas Extraction,Male,Non-Hispanic,Total,Family-owned,1133,,0,12394
918,1921204,Mining/Quarrying/Oil&Gas Extraction,Male,Non-Hispanic,Total,Not family-owned,3309,,0,27424
919,2906693,Mining/Quarrying/Oil&Gas Extraction,Male,Non-Hispanic,Total,Total reporting,4443,,0,39818
920,94832,Mining/Quarrying/Oil&Gas Extraction,Male,Non-Hispanic,Total,Item not reported,446,,0,2115
921,1355549,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Non-Hispanic,Total,All firms,3073,,0,20810
922,415145,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Non-Hispanic,Total,Family-owned,1218,,0,6666
923,9410,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Non-Hispanic,Total,Not family-owned,53,,0,177
924,424555,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Non-Hispanic,Total,Total reporting,1271,,0,6843
925,3883,Mining/Quarrying/Oil&Gas Extraction,Equally male/female,Non-Hispanic,Total,Item not reported,52,,0,166
926,19956834,Mining/Quarrying/Oil&Gas Extraction,Total,Total,White,All firms,17098,,0,255549
927,1743878,Mining/Quarrying/Oil&Gas Extraction,Total,Total,White,Family-owned,2795,,0,23982
928,2060870,Mining/Quarrying/Oil&Gas Extraction,Total,Total,White,Not family-owned,3795,,0,29557
929,3804749,Mining/Quarrying/Oil&Gas Extraction,Total,Total,White,Total reporting,6591,,0,53539
930,134978,Mining/Quarrying/Oil&Gas Extraction,Total,Total,White,Item not reported,535,,0,2813
931,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Black or African American,All firms,0,S,0,0
932,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Black or African American,Family-owned,0,D,0,0
933,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Black or African American,Not family-owned,0,S,0,0
934,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Black or African American,Total reporting,0,S,0,0
935,117717,Mining/Quarrying/Oil&Gas Extraction,Total,Total,American Indian and Alaska Native,All firms,205,,0,1834
936,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,American Indian and Alaska Native,Family-owned,0,S,0,0
937,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,American Indian and Alaska Native,Not family-owned,0,S,0,0
938,36857,Mining/Quarrying/Oil&Gas Extraction,Total,Total,American Indian and Alaska Native,Total reporting,106,,0,786
939,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,American Indian and Alaska Native,Item not reported,0,D,0,0
940,74686,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Asian,All firms,69,,0,860
941,2758,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Asian,Not family-owned,13,,0,61
942,2758,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Asian,Total reporting,13,,0,61
943,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Native Hawaiian and Other Pacific Islander,All firms,0,S,0,0
944,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Native Hawaiian and Other Pacific Islander,Family-owned,0,D,0,0
945,0,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Native Hawaiian and Other Pacific Islander,Total reporting,0,D,0,0
946,627481,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Minority,All firms,1039,,0,9986
947,136265,Mining/Quarrying/Oil&Gas Extraction,Total,Total,Minority,Family-owned,190,,0,2215
948,0,Utilities,Equally male/female,Total,Minority,All firms,0,S,0,0
949,0,Utilities,Equally male/female,Total,Minority,Family-owned,0,S,0,0
950,0,Utilities,Equally male/female,Total,Minority,Total reporting,0,S,0,0
951,19242,Utilities,Total,Total,Equally minority/nonminority,All firms,12,,0,316
952,0,Utilities,Total,Total,Equally minority/nonminority,Family-owned,0,D,0,0
953,0,Utilities,Total,Total,Equally minority/nonminority,Total reporting,0,D,0,0
954,455,Utilities,Equally male/female,Total,Equally minority/nonminority,All firms,9,,0,15
955,0,Utilities,Equally male/female,Total,Equally minority/nonminority,Family-owned,0,D,0,0
956,0,Utilities,Equally male/female,Total,Equally minority/nonminority,Total reporting,0,D,0,0
957,4152164,Utilities,Total,Total,Nonminority,All firms,2788,,0,59674
958,121188,Utilities,Total,Total,Nonminority,Family-owned,433,,0,8883
959,0,Utilities,Total,Total,Nonminority,Not family-owned,0,S,0,0
960,0,Utilities,Total,Total,Nonminority,Total reporting,0,S,0,0
961,15943,Utilities,Total,Total,Nonminority,Item not reported,72,,0,295
962,128600,Utilities,Female,Total,Nonminority,All firms,302,,0,2019
963,4874,Utilities,Female,Total,Nonminority,Family-owned,27,,0,122
964,9335,Utilities,Female,Total,Nonminority,Not family-owned,51,,0,127
965,14209,Utilities,Female,Total,Nonminority,Total reporting,79,,0,249
966,0,Utilities,Female,Total,Nonminority,Item not reported,0,S,0,0
967,3757400,Utilities,Male,Total,Nonminority,All firms,1985,,0,47399
968,0,Utilities,Male,Total,Nonminority,Family-owned,0,S,0,0
969,0,Utilities,Male,Total,Nonminority,Not family-owned,0,S,0,0
970,0,Utilities,Male,Total,Nonminority,Total reporting,0,S,0,0
971,14264,Utilities,Male,Total,Nonminority,Item not reported,59,,0,235
972,0,Utilities,Equally male/female,Total,Nonminority,All firms,0,S,0,0
973,27200,Utilities,Equally male/female,Total,Nonminority,Family-owned,163,,0,7314
974,1565,Utilities,Equally male/female,Total,Nonminority,Not family-owned,20,,0,39
975,28764,Utilities,Equally male/female,Total,Nonminority,Total reporting,182,,0,7353
976,0,Utilities,Equally male/female,Total,Nonminority,Item not reported,0,S,0,0
977,73440,Utilities,Total,Total,Total,All firms,275,,0,1635
978,3918,Utilities,Total,Total,Total,Family-owned,23,,0,180
979,0,Utilities,Total,Total,Total,Not family-owned,0,S,0,0
980,18324,Utilities,Total,Total,Total,Total reporting,102,,0,470
981,0,Utilities,Total,Total,Total,Item not reported,0,D,0,0
982,73306,Utilities,Male,Total,Total,All firms,273,,0,1631
983,3918,Utilities,Male,Total,Total,Family-owned,23,,0,180
984,0,Utilities,Male,Total,Total,Not family-owned,0,S,0,0
985,18324,Utilities,Male,Total,Total,Total reporting,102,,0,470
986,0,Utilities,Male,Total,Total,Item not reported,0,D,0,0
987,73306,Utilities,Total,Non-Hispanic,Total,All firms,273,,0,1631
988,3918,Utilities,Total,Non-Hispanic,Total,Family-owned,23,,0,180
989,0,Utilities,Total,Non-Hispanic,Total,Not family-owned,0,S,0,0
990,18324,Utilities,Total,Non-Hispanic,Total,Total reporting,102,,0,470
991,0,Utilities,Total,Non-Hispanic,Total,Item not reported,0,D,0,0
992,730,Utilities,Total,Total,Minority,All firms,5,,0,28
993,0,Utilities,Total,Total,Minority,Not family-owned,0,D,0,0
994,0,Utilities,Total,Total,Minority,Total reporting,0,D,0,0
995,72710,Utilities,Total,Total,Nonminority,All firms,268,,0,1607
996,3918,Utilities,Total,Total,Nonminority,Family-owned,23,,0,180
997,0,Utilities,Total,Total,Nonminority,Not family-owned,0,S,0,0
998,18171,Utilities,Total,Total,Nonminority,Total reporting,100,,0,462
999,0,Utilities,Total,Total,Nonminority,Item not reported,0,D,0,0
1000,25114,Utilities,Total,Total,Total,All firms,111,,0,509
1001,1268,Utilities,Total,Total,Total,Family-owned,26,,0,85
1002,0,Utilities,Total,Total,Total,Not family-owned,0,S,0,0
1003,3480,Utilities,Total,Total,Total,Total reporting,42,,0,123
1004,0,Utilities,Total,Total,Total,Item not reported,0,S,0,0
1005,0,Utilities,Male,Total,Total,All firms,0,S,0,0
1006,0,Utilities,Male,Total,Total,Family-owned,0,D,0,0
1007,0,Utilities,Male,Total,Total,Not family-owned,0,D,0,0
1008,0,Utilities,Male,Total,Total,Total reporting,0,D,0,0
1009,0,Utilities,Male,Total,Total,Item not reported,0,D,0,0
1010,14340,Utilities,Equally male/female,Total,Total,All firms,72,,0,314
1011,1108,Utilities,Equally male/female,Total,Total,Family-owned,18,,0,63
1012,0,Utilities,Equally male/female,Total,Total,Not family-owned,0,D,0,0
1013,1660,Utilities,Equally male/female,Total,Total,Total reporting,30,,0,77
1014,0,Utilities,Equally male/female,Total,Total,Item not reported,0,D,0,0
1015,0,Utilities,Total,Equally Hispanic/non-Hispanic,Total,All firms,0,D,0,0
1016,0,Utilities,Total,Equally Hispanic/non-Hispanic,Total,Family-owned,0,D,0,0
1017,0,Utilities,Total,Equally Hispanic/non-Hispanic,Total,Total reporting,0,D,0,0
1018,24940,Utilities,Total,Non-Hispanic,Total,All firms,109,,0,504
1019,1093,Utilities,Total,Non-Hispanic,Total,Family-owned,23,,0,80
1020,0,Utilities,Total,Non-Hispanic,Total,Not family-owned,0,S,0,0
1021,3306,Utilities,Total,Non-Hispanic,Total,Total reporting,40,,0,118
1022,0,Utilities,Total,Non-Hispanic,Total,Item not reported,0,S,0,0
1023,0,Utilities,Total,Total,Equally minority/nonminority,All firms,0,D,0,0
1024,0,Utilities,Total,Total,Equally minority/nonminority,Family-owned,0,D,0,0
1025,0,Utilities,Total,Total,Equally minority/nonminority,Total reporting,0,D,0,0
1026,24940,Utilities,Total,Total,Nonminority,All firms,109,,0,504
1027,1093,Utilities,Total,Total,Nonminority,Family-owned,23,,0,80
1028,0,Utilities,Total,Total,Nonminority,Not family-owned,0,S,0,0
1029,3306,Utilities,Total,Total,Nonminority,Total reporting,40,,0,118
1030,0,Utilities,Total,Total,Nonminority,Item not reported,0,S,0,0
1031,4180113,Utilities,Total,Total,Total,All firms,2590,,0,59381
1032,117321,Utilities,Total,Total,Total,Family-owned,397,,0,8656
1033,0,Utilities,Total,Total,Total,Not family-owned,0,S,0,0
1034,0,Utilities,Total,Total,Total,Total reporting,0,S,0,0
1035,11591,Utilities,Total,Total,Total,Item not reported,61,,0,216
1036,165941,Utilities,Female,Total,Total,All firms,344,,0,2462
1037,4961,Utilities,Female,Total,Total,Family-owned,30,,0,125
1038,9836,Utilities,Female,Total,Total,Not family-owned,59,,0,142
1039,14797,Utilities,Female,Total,Total,Total reporting,88,,0,267
1040,504,Utilities,Female,Total,Total,Item not reported,7,,0,19
1041,3760885,Utilities,Male,Total,Total,All firms,1799,,0,46946
1042,0,Utilities,Male,Total,Total,Family-owned,0,S,0,0
1043,0,Utilities,Male,Total,Total,Not family-owned,0,S,0,0
1044,0,Utilities,Male,Total,Total,Total reporting,0,S,0,0
1045,11018,Utilities,Male,Total,Total,Item not reported,51,,0,189
1046,0,Utilities,Equally male/female,Total,Total,All firms,0,S,0,0
1047,26897,Utilities,Equally male/female,Total,Total,Family-owned,152,,0,7266
1048,1013,Utilities,Equally male/female,Total,Total,Not family-owned,8,,0,25
1049,27909,Utilities,Equally male/female,Total,Total,Total reporting,160,,0,7291
1050,0,Utilities,Equally male/female,Total,Total,Item not reported,0,D,0,0
1051,0,Utilities,Total,Hispanic,Total,All firms,0,S,0,0
1052,0,Utilities,Total,Hispanic,Total,Family-owned,0,S,0,0
1053,0,Utilities,Total,Hispanic,Total,Not family-owned,0,S,0,0
1054,3320,Utilities,Total,Hispanic,Total,Total reporting,28,,0,79
1055,0,Utilities,Total,Hispanic,Total,Item not reported,0,D,0,0
1056,4097980,Utilities,Total,Non-Hispanic,Total,All firms,2471,,0,58229
1057,116474,Utilities,Total,Non-Hispanic,Total,Family-owned,391,,0,8629
1058,0,Utilities,Total,Non-Hispanic,Total,Not family-owned,0,S,0,0
1059,0,Utilities,Total,Non-Hispanic,Total,Total reporting,0,S,0,0
1060,11271,Utilities,Total,Non-Hispanic,Total,Item not reported,59,,0,208
1061,106531,Utilities,Total,Total,Minority,All firms,172,,0,1507
