,industry,race,revenue_ranges
6959,Transportation and warehousing,White,W
6960,Transportation and warehousing,White,W
6961,Transportation and warehousing,White,W
6962,Transportation and warehousing,Black or African American,W
6963,Transportation and warehousing,Black or African American,T
6964,Transportation and warehousing,Black or African American,U
6965,Transportation and warehousing,Black or African American,T
6966,Transportation and warehousing,Black or African American,T
6970,Transportation and warehousing,Black or African American,M
6971,Transportation and warehousing,Black or African American,T
7005,Transportation and warehousing,Black or African American,U
7007,Transportation and warehousing,Black or African American,L
7008,Transportation and warehousing,Black or African American,R
7009,Transportation and warehousing,Black or African American,O
7011,Transportation and warehousing,Black or African American,L
7012,Transportation and warehousing,Black or African American,O
7014,Transportation and warehousing,Black or African American,R
7054,Transportation and warehousing,Black or African American,U
7055,Transportation and warehousing,Black or African American,R
7056,Transportation and warehousing,Black or African American,U
7058,Transportation and warehousing,Black or African American,T
7063,Transportation and warehousing,Black or African American,R
7098,Transportation and warehousing,Black or African American,R
7099,Transportation and warehousing,Black or African American,K
7100,Transportation and warehousing,Black or African American,O
7107,Transportation and warehousing,Native Hawaiian and Other Pacific Islander,M
7109,Transportation and warehousing,Native Hawaiian and Other Pacific Islander,B
7138,Transportation and warehousing,Black or African American,T
7146,Transportation and warehousing,Black or African American,R
7150,Transportation and warehousing,Native Hawaiian and Other Pacific Islander,R
7151,Transportation and warehousing,Native Hawaiian and Other Pacific Islander,K
7155,Transportation and warehousing,Native Hawaiian and Other Pacific Islander,L
7157,Transportation and warehousing,Native Hawaiian and Other Pacific Islander,M
7167,Retail trade,White,W
7168,Retail trade,White,W
7169,Retail trade,White,W
7170,Retail trade,White,W
7171,Retail trade,White,W
7172,Retail trade,White,W
7173,Retail trade,White,W
7174,Retail trade,White,W
7185,Transportation and warehousing,Black or African American,W
7186,Transportation and warehousing,Black or African American,R
7187,Transportation and warehousing,Black or African American,U
7188,Transportation and warehousing,Black or African American,T
7189,Transportation and warehousing,Black or African American,T
7193,Transportation and warehousing,Black or African American,M
7194,Transportation and warehousing,Black or African American,R
7197,Transportation and warehousing,Native Hawaiian and Other Pacific Islander,I
7202,Transportation and warehousing,Native Hawaiian and Other Pacific Islander,I
7205,Retail trade,White,W
7206,Retail trade,White,W
7207,Retail trade,White,W
7208,Retail trade,White,W
7209,Retail trade,White,W
7210,Retail trade,White,W
7211,Retail trade,White,W
7212,Retail trade,White,W
7213,Retail trade,Black or African American,W
7215,Retail trade,Black or African American,U
7217,Retail trade,Black or African American,U
7218,Retail trade,Black or African American,U
7220,Retail trade,Black or African American,U
7232,Transportation and warehousing,Black or African American,U
7233,Transportation and warehousing,Black or African American,U
7234,Transportation and warehousing,Black or African American,R
7235,Transportation and warehousing,American Indian and Alaska Native,U
7237,Transportation and warehousing,American Indian and Alaska Native,R
7239,Transportation and warehousing,American Indian and Alaska Native,O
7240,Transportation and warehousing,American Indian and Alaska Native,R
7241,Transportation and warehousing,American Indian and Alaska Native,O
7242,Transportation and warehousing,American Indian and Alaska Native,R
7246,Transportation and warehousing,Native Hawaiian and Other Pacific Islander,R
7247,Transportation and warehousing,Native Hawaiian and Other Pacific Islander,K
7253,Transportation and warehousing,Native Hawaiian and Other Pacific Islander,M
7255,Retail trade,Black or African American,U
7256,Retail trade,Black or African American,W
7257,Retail trade,Black or African American,T
7260,Retail trade,Black or African American,W
7261,Retail trade,American Indian and Alaska Native,U
7262,Retail trade,American Indian and Alaska Native,O
7263,Retail trade,American Indian and Alaska Native,T
7264,Retail trade,American Indian and Alaska Native,U
7267,Retail trade,American Indian and Alaska Native,R
7268,Retail trade,American Indian and Alaska Native,R
7283,Transportation and warehousing,American Indian and Alaska Native,R
7285,Transportation and warehousing,American Indian and Alaska Native,L
7286,Transportation and warehousing,American Indian and Alaska Native,L
7287,Transportation and warehousing,American Indian and Alaska Native,K
7289,Transportation and warehousing,American Indian and Alaska Native,O
7293,Transportation and warehousing,American Indian and Alaska Native,T
7298,Transportation and warehousing,Native Hawaiian and Other Pacific Islander,R
7311,Retail trade,American Indian and Alaska Native,U
7312,Retail trade,American Indian and Alaska Native,U
7315,Retail trade,American Indian and Alaska Native,U
7316,Retail trade,Asian,W
7317,Retail trade,Asian,W
7318,Retail trade,Asian,W
7319,Retail trade,Asian,W
7320,Retail trade,Asian,W
7321,Retail trade,Asian,W
7324,Retail trade,Asian,U
7325,Retail trade,Asian,W
7341,Transportation and warehousing,American Indian and Alaska Native,O
7342,Transportation and warehousing,American Indian and Alaska Native,O
7343,Transportation and warehousing,American Indian and Alaska Native,O
7344,Transportation and warehousing,American Indian and Alaska Native,M
7347,Transportation and warehousing,American Indian and Alaska Native,I
7366,Retail trade,Asian,W
7367,Retail trade,Asian,W
7368,Retail trade,Asian,W
7371,Retail trade,Asian,W
7394,Transportation and warehousing,American Indian and Alaska Native,K
7396,Transportation and warehousing,American Indian and Alaska Native,K
7426,Transportation and warehousing,White,W
7427,Transportation and warehousing,White,W
7428,Transportation and warehousing,White,W
7429,Transportation and warehousing,White,W
7430,Transportation and warehousing,White,W
7431,Transportation and warehousing,White,W
7432,Transportation and warehousing,White,W
7433,Transportation and warehousing,White,W
7434,Transportation and warehousing,White,W
7435,Transportation and warehousing,White,W
7436,Transportation and warehousing,American Indian and Alaska Native,U
7437,Transportation and warehousing,American Indian and Alaska Native,O
7441,Transportation and warehousing,American Indian and Alaska Native,R
7442,Transportation and warehousing,American Indian and Alaska Native,O
7443,Transportation and warehousing,American Indian and Alaska Native,R
7446,Transportation and warehousing,American Indian and Alaska Native,R
7447,Transportation and warehousing,American Indian and Alaska Native,T
7472,Transportation and warehousing,White,W
7473,Transportation and warehousing,White,U
7474,Transportation and warehousing,White,U
7475,Transportation and warehousing,White,W
7476,Transportation and warehousing,White,U
7477,Transportation and warehousing,White,W
7478,Transportation and warehousing,White,U
7481,Transportation and warehousing,White,W
7482,Transportation and warehousing,Asian,W
7483,Transportation and warehousing,Asian,T
7484,Transportation and warehousing,Asian,U
7485,Transportation and warehousing,Asian,U
7486,Transportation and warehousing,Asian,U
7491,Transportation and warehousing,Asian,T
7492,Transportation and warehousing,Asian,U
7493,Transportation and warehousing,Asian,O
7494,Transportation and warehousing,Asian,T
7495,Transportation and warehousing,Asian,T
7496,Transportation and warehousing,Asian,O
7499,Retail trade,White,W
7500,Retail trade,White,W
7504,Retail trade,White,W
7506,Retail trade,Black or African American,B
7520,Transportation and warehousing,White,W
7521,Transportation and warehousing,White,W
7522,Transportation and warehousing,White,W
7523,Transportation and warehousing,White,W
7524,Transportation and warehousing,White,W
7525,Transportation and warehousing,White,W
7526,Transportation and warehousing,White,W
7527,Transportation and warehousing,White,W
7528,Transportation and warehousing,White,W
7529,Transportation and warehousing,White,W
7530,Transportation and warehousing,White,W
7531,Transportation and warehousing,White,U
7535,Transportation and warehousing,Asian,I
7536,Transportation and warehousing,Asian,W
7537,Transportation and warehousing,Asian,R
7538,Transportation and warehousing,Asian,U
7540,Transportation and warehousing,Asian,U
7541,Transportation and warehousing,Asian,U
7545,Transportation and warehousing,Asian,T
7549,Retail trade,Asian,R
7550,Retail trade,Asian,K
7551,Retail trade,Asian,R
7553,Retail trade,Asian,R
7555,Retail trade,Asian,R
7573,Transportation and warehousing,White,W
7577,Transportation and warehousing,White,U
7578,Transportation and warehousing,White,W
7579,Transportation and warehousing,White,W
7580,Transportation and warehousing,White,U
7581,Transportation and warehousing,White,U
7582,Transportation and warehousing,White,T
7583,Transportation and warehousing,White,U
7584,Transportation and warehousing,White,W
7585,Transportation and warehousing,White,U
7586,Transportation and warehousing,White,W
7587,Transportation and warehousing,White,U
7588,Transportation and warehousing,White,U
7590,Transportation and warehousing,Asian,U
7592,Transportation and warehousing,Asian,R
7679,Transportation and warehousing,White,W
7680,Transportation and warehousing,White,R
7681,Transportation and warehousing,White,U
7683,Transportation and warehousing,White,U
7687,Transportation and warehousing,White,L
7688,Transportation and warehousing,White,T
7702,Transportation and warehousing,Black or African American,T
7703,Transportation and warehousing,Black or African American,T
7707,Transportation and warehousing,Black or African American,M
7708,Transportation and warehousing,Black or African American,T
7709,Transportation and warehousing,Black or African American,U
7710,Transportation and warehousing,Black or African American,U
7711,Transportation and warehousing,Black or African American,W
7712,Transportation and warehousing,Black or African American,R
7713,Transportation and warehousing,Black or African American,T
7725,Transportation and warehousing,White,W
7726,Transportation and warehousing,White,U
7729,Transportation and warehousing,White,W
7738,Transportation and warehousing,American Indian and Alaska Native,I
7753,Transportation and warehousing,American Indian and Alaska Native,U
7755,Transportation and warehousing,American Indian and Alaska Native,R
7756,Transportation and warehousing,American Indian and Alaska Native,O
7758,Transportation and warehousing,American Indian and Alaska Native,O
7759,Transportation and warehousing,American Indian and Alaska Native,R
7760,Transportation and warehousing,American Indian and Alaska Native,O
7763,Transportation and warehousing,American Indian and Alaska Native,R
7764,Transportation and warehousing,American Indian and Alaska Native,T
7784,Transportation and warehousing,American Indian and Alaska Native,B
7785,Transportation and warehousing,American Indian and Alaska Native,I
7786,Transportation and warehousing,American Indian and Alaska Native,I
7787,Transportation and warehousing,Asian,O
7794,Transportation and warehousing,Asian,M
7796,Transportation and warehousing,Asian,O
7808,Transportation and warehousing,American Indian and Alaska Native,U
7809,Transportation and warehousing,Asian,W
7810,Transportation and warehousing,Asian,T
7811,Transportation and warehousing,Asian,U
7812,Transportation and warehousing,Asian,U
7813,Transportation and warehousing,Asian,U
7818,Transportation and warehousing,Asian,T
7819,Transportation and warehousing,Asian,U
7820,Transportation and warehousing,Asian,W
7821,Transportation and warehousing,Asian,T
7862,Transportation and warehousing,Asian,W
7864,Transportation and warehousing,Native Hawaiian and Other Pacific Islander,K
7872,Transportation and warehousing,Native Hawaiian and Other Pacific Islander,R
7921,Information,White,W
7922,Information,White,W
7923,Information,White,W
7924,Information,White,W
7925,Information,White,W
7926,Information,White,W
7927,Information,White,W
7928,Information,White,W
7930,Information,White,W
7931,Information,White,W
7932,Information,White,T
7933,Information,White,U
7934,Information,White,U
7935,Information,White,U
7936,Information,White,U
7937,Information,White,U
7951,Transportation and warehousing,White,W
7953,Transportation and warehousing,White,U
7954,Transportation and warehousing,White,U
7955,Transportation and warehousing,White,U
7956,Transportation and warehousing,White,W
7959,Transportation and warehousing,White,U
7960,Transportation and warehousing,White,W
7974,Information,White,U
7975,Information,White,U
7976,Information,White,W
7977,Information,White,W
7978,Information,White,U
7979,Information,White,W
7980,Information,White,W
7981,Information,White,W
7982,Information,White,W
7983,Information,White,W
7984,Information,White,W
7986,Information,White,W
7997,Transportation and warehousing,White,U
7998,Transportation and warehousing,White,W
8001,Transportation and warehousing,White,W
8002,Transportation and warehousing,Black or African American,T
8003,Transportation and warehousing,Black or African American,L
8004,Transportation and warehousing,Black or African American,R
8008,Transportation and warehousing,Black or African American,O
8023,Information,White,W
8024,Information,White,T
8025,Information,White,U
8026,Information,White,U
8027,Information,White,U
8028,Information,White,U
8029,Information,White,U
8030,Information,White,U
8031,Information,White,R
8032,Information,White,U
8044,Transportation and warehousing,Black or African American,T
8047,Transportation and warehousing,Black or African American,T
8066,Information,White,R
8067,Information,White,U
8068,Information,White,R
8069,Information,White,T
8070,Information,White,T
8073,Information,White,T
8075,Information,White,R
8076,Information,White,T
8077,Information,White,U
8079,Information,White,R
8080,Information,White,M
8081,Information,White,O
8082,Information,White,L
8096,Transportation and warehousing,Asian,K
8099,Transportation and warehousing,Asian,L
8104,Transportation and warehousing,Native Hawaiian and Other Pacific Islander,M
8105,Transportation and warehousing,Native Hawaiian and Other Pacific Islander,I
8121,Information,White,L
8122,Information,White,O
8125,Information,White,R
8126,Information,White,R
8127,Information,White,W
8128,Information,White,W
8129,Information,White,W
8130,Information,White,W
8131,Information,White,W
8132,Information,White,W
8133,Information,White,W
8134,Information,White,W
8136,Information,White,W
8152,Transportation and warehousing,Native Hawaiian and Other Pacific Islander,M
8154,Transportation and warehousing,Native Hawaiian and Other Pacific Islander,M
8174,Information,White,W
8175,Information,White,W
8176,Information,White,W
8177,Information,Black or African American,U
8178,Information,Black or African American,O
8179,Information,Black or African American,R
8180,Information,Black or African American,O
8181,Information,Black or African American,O
8182,Information,Black or African American,R
8184,Information,Black or African American,O
8185,Information,Black or African American,T
8227,Information,Black or African American,U
8230,Information,Black or African American,M
8246,Transportation and warehousing,White,W
8247,Transportation and warehousing,White,W
8248,Transportation and warehousing,White,W
8249,Transportation and warehousing,White,W
8275,Information,Black or African American,U
8276,Information,Black or African American,O
8277,Information,Black or African American,R
8278,Information,Black or African American,M
8279,Information,Black or African American,M
8280,Information,Black or African American,R
8281,Information,Black or African American,O
8282,Information,Black or African American,O
8283,Information,Black or African American,R
8285,Information,Black or African American,L
8287,Transportation and warehousing,White,W
8288,Transportation and warehousing,White,W
8289,Transportation and warehousing,White,W
8290,Transportation and warehousing,White,W
8291,Transportation and warehousing,White,W
8292,Transportation and warehousing,White,W
8293,Transportation and warehousing,White,W
8294,Transportation and warehousing,White,W
8295,Transportation and warehousing,White,W
8296,Transportation and warehousing,White,W
8298,Transportation and warehousing,White,W
8299,Transportation and warehousing,Black or African American,W
8300,Transportation and warehousing,Black or African American,R
8301,Transportation and warehousing,Black or African American,U
8322,Information,Black or African American,K
8323,Information,Black or African American,I
8324,Information,Black or African American,K
8327,Information,Black or African American,I
8372,Information,Black or African American,K
8374,Information,Black or African American,L
8375,Information,Black or African American,B
8380,Information,Black or African American,K
8382,Information,Black or African American,U
8383,Information,Black or African American,O
8384,Information,Black or African American,R
8385,Information,Black or African American,O
8387,Information,Black or African American,O
8389,Information,Black or African American,O
8402,Information,White,T
8403,Information,White,U
8406,Information,White,U
8407,Information,Black or African American,I
8408,Information,Black or African American,B
8410,Information,Black or African American,I
8411,Information,Black or African American,I
8437,Information,American Indian and Alaska Native,R
8438,Information,American Indian and Alaska Native,K
8439,Information,American Indian and Alaska Native,L
8442,Information,American Indian and Alaska Native,L
8443,Information,American Indian and Alaska Native,O
8483,Information,American Indian and Alaska Native,O
8484,Information,Asian,T
8485,Information,American Indian and Alaska Native,R
8486,Information,American Indian and Alaska Native,B
8487,Information,Asian,W
8488,Information,Asian,U
8489,Information,Asian,U
8490,Information,Asian,U
8491,Information,Asian,U
8493,Information,Asian,U
8494,Information,Asian,U
8495,Information,Asian,U
8535,Information,Asian,U
8536,Information,Asian,R
8537,Information,Asian,R
8539,Information,Asian,O
8542,Information,Asian,R
8574,Information,Asian,W
8575,Information,Asian,R
8576,Information,Asian,U
8577,Information,Asian,T
8578,Information,Asian,T
8579,Information,Asian,T
8580,Information,Asian,U
8582,Information,Asian,U
8583,Information,Asian,U
8584,Information,Asian,T
8586,Information,Asian,O
8589,Information,Asian,L
8590,Information,Asian,L
8591,Information,Asian,M
8637,Information,Asian,L
8638,Information,Asian,I
8642,Information,Asian,L
8643,Information,Asian,W
8644,Information,Asian,T
8648,Information,White,W
8652,Information,White,R
8653,Information,White,T
8654,Information,White,T
8655,Information,White,U
8658,Information,White,U
8659,Information,White,T
8660,Information,White,W
8685,Information,Asian,U
8686,Information,Asian,U
8687,Information,Asian,U
8688,Information,Asian,U
8690,Information,Asian,U
8691,Information,Asian,U
8692,Information,Asian,U
8693,Information,Asian,U
8694,Information,Asian,W
8695,Information,Asian,T
8698,Information,Native Hawaiian and Other Pacific Islander,L
8699,Information,Native Hawaiian and Other Pacific Islander,K
8703,Information,White,M
8704,Information,White,W
8705,Information,White,L
8706,Information,White,R
8708,Information,White,W
8709,Information,Black or African American,R
8711,Information,Black or African American,L
8713,Information,Black or African American,K
8739,Information,Native Hawaiian and Other Pacific Islander,K
8745,Information,Native Hawaiian and Other Pacific Islander,K
8747,Information,Black or African American,R
8749,Information,Black or African American,R
8750,Information,American Indian and Alaska Native,M
8754,Information,American Indian and Alaska Native,K
8758,Information,American Indian and Alaska Native,M
8760,Information,American Indian and Alaska Native,M
8799,Information,Native Hawaiian and Other Pacific Islander,K
8802,Information,Native Hawaiian and Other Pacific Islander,L
8839,Information,White,W
8852,Information,Native Hawaiian and Other Pacific Islander,K
8873,Information,White,W
8874,Information,White,W
8875,Information,White,W
8876,Information,White,W
8877,Information,White,W
8878,Information,White,W
8879,Information,White,W
8881,Information,White,W
8882,Information,White,W
8883,Information,White,W
8884,Information,White,W
8885,Information,White,U
8886,Information,White,R
8887,Information,White,W
8888,Information,Black or African American,U
8889,Information,Black or African American,O
8890,Information,Black or African American,R
8926,Information,Black or African American,O
8927,Information,Black or African American,O
8929,Information,Black or African American,O
8930,Information,Black or African American,T
8933,Information,Black or African American,U
8934,Information,Black or African American,U
8935,Information,Black or African American,L
8937,Information,Black or African American,L
8938,Information,Black or African American,U
8939,Information,American Indian and Alaska Native,R
8940,Information,American Indian and Alaska Native,K
8941,Information,American Indian and Alaska Native,L
8980,Information,American Indian and Alaska Native,L
8983,Information,American Indian and Alaska Native,B
8984,Information,American Indian and Alaska Native,O
8985,Information,American Indian and Alaska Native,R
8987,Information,American Indian and Alaska Native,R
8988,Information,Asian,W
8989,Information,Asian,T
8990,Information,Asian,U
8991,Information,Asian,U
8992,Information,Asian,U
8993,Information,Asian,U
9032,Information,Asian,U
9033,Information,Asian,U
9034,Information,Asian,U
9035,Information,Asian,U
9036,Information,Asian,W
9037,Information,Asian,T
9038,Information,Asian,L
9039,Information,Asian,W
9042,Information,Native Hawaiian and Other Pacific Islander,K
9045,Information,Native Hawaiian and Other Pacific Islander,L
9077,Information,Native Hawaiian and Other Pacific Islander,K
9090,Information,Black or African American,T
9091,Information,Black or African American,R
9093,Information,Black or African American,U
9094,Information,Black or African American,U
9095,Information,Black or African American,L
9096,Information,American Indian and Alaska Native,R
9097,Information,American Indian and Alaska Native,K
9098,Information,American Indian and Alaska Native,L
9101,Information,American Indian and Alaska Native,L
9138,Information,American Indian and Alaska Native,O
9139,Information,American Indian and Alaska Native,I
9143,Information,American Indian and Alaska Native,K
9159,Information,White,U
9160,Information,White,M
9161,Information,White,R
9162,Information,White,R
9163,Information,White,R
9164,Information,White,O
9166,Information,White,O
9167,Information,White,R
9182,Information,American Indian and Alaska Native,R
9183,Information,American Indian and Alaska Native,K
9184,Information,American Indian and Alaska Native,L
9187,Information,American Indian and Alaska Native,L
9190,Information,American Indian and Alaska Native,B
9212,Finance and insurance,Asian,M
9213,Finance and insurance,Asian,T
9214,Finance and insurance,Asian,R
9220,Finance and insurance,Asian,W
9221,Finance and insurance,Asian,R
9222,Finance and insurance,Asian,U
9223,Finance and insurance,Asian,T
9244,Finance and insurance,White,W
9245,Finance and insurance,White,U
9246,Finance and insurance,White,W
9247,Finance and insurance,White,W
9248,Finance and insurance,White,U
9253,Finance and insurance,White,W
9256,Finance and insurance,Asian,R
9258,Finance and insurance,Asian,O
9259,Finance and insurance,Asian,U
9260,Finance and insurance,Asian,U
9261,Finance and insurance,Asian,U
9262,Finance and insurance,Asian,R
9288,Finance and insurance,White,W
9289,Finance and insurance,White,W
9290,Finance and insurance,White,W
9291,Finance and insurance,White,W
9292,Finance and insurance,White,W
9293,Finance and insurance,White,W
9294,Finance and insurance,White,W
9295,Finance and insurance,White,W
9297,Finance and insurance,White,W
9299,Finance and insurance,Asian,B
9305,Finance and insurance,Asian,W
9330,Finance and insurance,White,W
9332,Finance and insurance,White,U
9333,Finance and insurance,White,U
9334,Finance and insurance,White,U
9335,Finance and insurance,White,U
9338,Finance and insurance,White,T
9339,Finance and insurance,White,U
9341,Finance and insurance,White,W
9342,Finance and insurance,White,U
9343,Finance and insurance,White,U
9344,Finance and insurance,White,U
9345,Finance and insurance,Asian,U
9346,Finance and insurance,Asian,U
9347,Finance and insurance,Asian,U
9352,Finance and insurance,Asian,R
9353,Finance and insurance,Asian,U
9355,Finance and insurance,Asian,W
9356,Finance and insurance,Asian,U
9391,Finance and insurance,White,U
9392,Finance and insurance,White,U
9393,Finance and insurance,White,U
9394,Finance and insurance,White,W
9395,Finance and insurance,White,T
9397,Finance and insurance,White,L
9398,Finance and insurance,White,R
9399,Finance and insurance,White,R
9404,Finance and insurance,Native Hawaiian and Other Pacific Islander,B
9414,Finance and insurance,White,U
9415,Finance and insurance,White,W
9417,Finance and insurance,White,U
9418,Finance and insurance,White,U
9419,Finance and insurance,White,U
9423,Finance and insurance,White,W
9437,Finance and insurance,White,T
9438,Finance and insurance,White,W
9439,Finance and insurance,White,W
9440,Finance and insurance,White,W
9441,Finance and insurance,White,W
9442,Finance and insurance,White,W
9443,Finance and insurance,White,W
9444,Finance and insurance,White,W
9445,Finance and insurance,White,W
9447,Finance and insurance,White,W
9458,Finance and insurance,White,W
9462,Finance and insurance,White,W
9464,Finance and insurance,Black or African American,L
9465,Finance and insurance,Black or African American,R
9470,Finance and insurance,Black or African American,L
9484,Finance and insurance,White,W
9485,Finance and insurance,White,W
9486,Finance and insurance,White,W
9487,Finance and insurance,Black or African American,U
9488,Finance and insurance,Black or African American,O
9489,Finance and insurance,Black or African American,U
9490,Finance and insurance,Black or African American,T
9532,Finance and insurance,Black or African American,T
9534,Finance and insurance,Black or African American,R
9535,Finance and insurance,Black or African American,R
9538,Finance and insurance,Black or African American,U
9539,Finance and insurance,Black or African American,L
9578,Finance and insurance,Black or African American,T
9584,Finance and insurance,Black or African American,R
9585,Finance and insurance,Black or African American,L
9616,Finance and insurance,White,W
9617,Finance and insurance,White,W
9618,Finance and insurance,White,W
9619,Finance and insurance,White,W
9620,Finance and insurance,White,W
9621,Finance and insurance,White,W
9622,Finance and insurance,White,W
9623,Finance and insurance,White,W
9625,Finance and insurance,White,W
9626,Finance and insurance,White,W
9627,Finance and insurance,White,W
9628,Finance and insurance,White,W
9629,Finance and insurance,White,W
9631,Finance and insurance,White,W
9632,Finance and insurance,Black or African American,U
9634,Finance and insurance,Black or African American,B
9659,Finance and insurance,Black or African American,O
9660,Finance and insurance,Black or African American,T
9661,Finance and insurance,Black or African American,T
9666,Finance and insurance,Black or African American,R
9667,Finance and insurance,Black or African American,U
9670,Finance and insurance,American Indian and Alaska Native,R
9671,Finance and insurance,Black or African American,U
9672,Finance and insurance,American Indian and Alaska Native,T
9679,Finance and insurance,Black or African American,U
9680,Finance and insurance,Black or African American,O
9681,Finance and insurance,Black or African American,U
9682,Finance and insurance,Black or African American,T
9724,Finance and insurance,American Indian and Alaska Native,T
9725,Finance and insurance,Asian,W
9726,Finance and insurance,Asian,U
9727,Finance and insurance,Asian,U
9728,Finance and insurance,Asian,U
9731,Finance and insurance,Black or African American,R
9732,Finance and insurance,Black or African American,T
9733,Finance and insurance,Black or African American,U
9734,Finance and insurance,American Indian and Alaska Native,T
9736,Finance and insurance,American Indian and Alaska Native,R
9754,Finance and insurance,Asian,R
9755,Finance and insurance,Asian,U
9757,Finance and insurance,Asian,W
9758,Finance and insurance,Asian,U
9760,Finance and insurance,Asian,W
9773,Finance and insurance,American Indian and Alaska Native,O
9817,Finance and insurance,American Indian and Alaska Native,B
9818,Finance and insurance,American Indian and Alaska Native,B
9821,Finance and insurance,American Indian and Alaska Native,B
9843,Finance and insurance,White,W
9845,Finance and insurance,White,U
9861,Finance and insurance,American Indian and Alaska Native,T
9863,Finance and insurance,American Indian and Alaska Native,O
9883,Finance and insurance,White,U
9884,Finance and insurance,White,U
9886,Finance and insurance,White,W
9887,Finance and insurance,White,U
9890,Finance and insurance,White,W
9892,Finance and insurance,Black or African American,I
9901,Finance and insurance,White,W
9902,Finance and insurance,White,W
9903,Finance and insurance,White,W
9904,Finance and insurance,White,W
9905,Finance and insurance,White,W
9906,Finance and insurance,White,W
9907,Finance and insurance,White,W
9908,Finance and insurance,White,W
9910,Finance and insurance,White,W
9911,Finance and insurance,American Indian and Alaska Native,M
9913,Finance and insurance,Asian,U
9915,Finance and insurance,Asian,W
9916,Finance and insurance,Asian,U
9917,Finance and insurance,Asian,U
9922,Finance and insurance,Asian,R
9923,Finance and insurance,Asian,U
9948,Real estate and rental and leasing,White,U
9949,Real estate and rental and leasing,White,W
9950,Real estate and rental and leasing,White,R
9951,Real estate and rental and leasing,White,U
9952,Real estate and rental and leasing,White,O
9953,Real estate and rental and leasing,White,T
9957,Real estate and rental and leasing,Native Hawaiian and Other Pacific Islander,K
9958,Real estate and rental and leasing,Native Hawaiian and Other Pacific Islander,I
9961,Real estate and rental and leasing,Native Hawaiian and Other Pacific Islander,L
9967,Real estate and rental and leasing,White,W
9968,Real estate and rental and leasing,White,T
9969,Real estate and rental and leasing,White,U
9970,Real estate and rental and leasing,White,U
9971,Real estate and rental and leasing,White,U
9972,Real estate and rental and leasing,White,U
9975,Real estate and rental and leasing,White,T
9976,Real estate and rental and leasing,White,U
9977,Real estate and rental and leasing,White,R
9978,Real estate and rental and leasing,White,W
9994,Real estate and rental and leasing,White,T
9995,Real estate and rental and leasing,White,W
9996,Real estate and rental and leasing,White,W
9997,Real estate and rental and leasing,White,W
9998,Real estate and rental and leasing,White,W
9999,Real estate and rental and leasing,White,W
10000,Real estate and rental and leasing,White,W
10001,Real estate and rental and leasing,White,W
10004,Real estate and rental and leasing,White,W
10007,Real estate and rental and leasing,Native Hawaiian and Other Pacific Islander,L
10008,Real estate and rental and leasing,Native Hawaiian and Other Pacific Islander,K
10011,Real estate and rental and leasing,White,W
10014,Real estate and rental and leasing,Black or African American,R
10016,Real estate and rental and leasing,Black or African American,O
10020,Real estate and rental and leasing,Black or African American,R
10021,Real estate and rental and leasing,Black or African American,R
10023,Real estate and rental and leasing,American Indian and Alaska Native,I
10025,Real estate and rental and leasing,American Indian and Alaska Native,I
10036,Real estate and rental and leasing,White,W
10037,Real estate and rental and leasing,White,W
10038,Real estate and rental and leasing,White,W
10039,Real estate and rental and leasing,Black or African American,U
10041,Real estate and rental and leasing,Black or African American,R
10042,Real estate and rental and leasing,Black or African American,T
10046,Real estate and rental and leasing,Black or African American,M
10048,Real estate and rental and leasing,Black or African American,T
10049,Real estate and rental and leasing,Black or African American,L
10050,Real estate and rental and leasing,Native Hawaiian and Other Pacific Islander,K
10052,Real estate and rental and leasing,Native Hawaiian and Other Pacific Islander,L
10066,Real estate and rental and leasing,Asian,R
10082,Real estate and rental and leasing,Black or African American,R
10086,Real estate and rental and leasing,Black or African American,U
10087,Real estate and rental and leasing,Black or African American,O
10088,Real estate and rental and leasing,Black or African American,R
10093,Real estate and rental and leasing,Black or African American,M
10109,Real estate and rental and leasing,Asian,R
10110,Real estate and rental and leasing,Asian,R
10134,Real estate and rental and leasing,Black or African American,O
10137,Real estate and rental and leasing,Black or African American,I
10212,Real estate and rental and leasing,Black or African American,U
10213,Real estate and rental and leasing,Black or African American,R
10214,Real estate and rental and leasing,Black or African American,T
10219,Real estate and rental and leasing,Black or African American,M
10221,Real estate and rental and leasing,Black or African American,T
10222,Real estate and rental and leasing,Black or African American,U
10223,Real estate and rental and leasing,Black or African American,O
10224,Real estate and rental and leasing,American Indian and Alaska Native,R
10252,Real estate and rental and leasing,American Indian and Alaska Native,L
10290,Real estate and rental and leasing,American Indian and Alaska Native,R
10291,Real estate and rental and leasing,American Indian and Alaska Native,K
10293,Real estate and rental and leasing,American Indian and Alaska Native,I
10334,Real estate and rental and leasing,American Indian and Alaska Native,I
10375,Real estate and rental and leasing,American Indian and Alaska Native,R
10376,Real estate and rental and leasing,American Indian and Alaska Native,L
10377,Real estate and rental and leasing,American Indian and Alaska Native,O
10400,Real estate and rental and leasing,White,U
10401,Real estate and rental and leasing,White,W
10402,Real estate and rental and leasing,White,T
10403,Real estate and rental and leasing,White,U
10404,Real estate and rental and leasing,White,U
10406,Real estate and rental and leasing,White,L
10409,Real estate and rental and leasing,White,T
10421,Real estate and rental and leasing,American Indian and Alaska Native,R
10423,Real estate and rental and leasing,Asian,W
10424,Real estate and rental and leasing,Asian,U
10425,Real estate and rental and leasing,Asian,W
10426,Real estate and rental and leasing,Asian,U
10431,Real estate and rental and leasing,Asian,R
