,annual_payroll,industry,sex,ethnicity,race,buschar_label,number_of_firms,firmpdemp_f,revenue,number_of_employees
2062,589223,Construction,Total,Total,Asian,State and local government,649,,0,8198
2063,858768,Construction,Total,Total,Asian,Other businesses,2199,,0,14395
2064,0,Construction,Total,Total,Asian,Other organizations,0,S,0,0
2065,549007,Construction,Total,Total,Asian,Individuals,3545,,0,13763
2066,1549851,Construction,Total,Total,Asian,Total reporting,5105,,0,27745
2067,218770,Construction,Total,Total,Asian,Item not reported,1299,,0,5254
2068,330898,Construction,Total,Total,Native Hawaiian and Other Pacific Islander,All firms,1094,,0,6657
2069,0,Construction,Total,Total,Native Hawaiian and Other Pacific Islander,State and local government,0,S,0,0
2070,76153,Construction,Total,Total,Native Hawaiian and Other Pacific Islander,Other businesses,159,,0,1384
2071,0,Construction,Total,Total,Native Hawaiian and Other Pacific Islander,Other organizations,0,D,0,0
2072,87012,Construction,Total,Total,Native Hawaiian and Other Pacific Islander,Individuals,302,,0,1927
2073,132327,Construction,Total,Total,Native Hawaiian and Other Pacific Islander,Total reporting,414,,0,2854
2074,0,Construction,Total,Total,Native Hawaiian and Other Pacific Islander,Item not reported,0,D,0,0
2075,24034712,Construction,Total,Total,Minority,All firms,80727,,0,492018
2076,1103295,Construction,Total,Total,Minority,Federal government,1414,,0,20550
2077,2681827,Construction,Total,Total,Minority,State and local government,3578,,0,47023
2078,5252658,Construction,Total,Total,Minority,Other businesses,13642,,0,117394
2079,212274,Construction,Total,Total,Minority,Other organizations,718,,0,6189
2080,3835046,Construction,Total,Total,Minority,Individuals,19352,,0,95817
2081,9101959,Construction,Total,Total,Minority,Total reporting,28714,,0,202736
2082,1185338,Construction,Total,Total,Minority,Item not reported,8106,,0,32336
2083,4425365,Construction,Female,Total,Minority,All firms,12580,,0,89357
2084,0,Construction,Female,Total,Minority,Federal government,0,S,0,0
2085,376154,Construction,Female,Total,Minority,State and local government,724,,0,8019
2086,1008122,Construction,Female,Total,Minority,Other businesses,1988,,0,25058
2087,0,Construction,Female,Total,Minority,Other organizations,0,S,0,0
2088,422874,Construction,Female,Total,Minority,Individuals,2136,,0,9802
2089,1474109,Construction,Female,Total,Minority,Total reporting,4010,,0,35452
2090,204765,Construction,Female,Total,Minority,Item not reported,1512,,0,6205
2091,17891095,Construction,Male,Total,Minority,All firms,60838,,0,363333
2092,868715,Construction,Male,Total,Minority,Federal government,926,,0,16240
2093,2131402,Construction,Male,Total,Minority,State and local government,2554,,0,35435
2094,3844561,Construction,Male,Total,Minority,Other businesses,10515,,0,83439
2095,105162,Construction,Male,Total,Minority,Other organizations,590,,0,2779
2096,3040873,Construction,Male,Total,Minority,Individuals,15417,,0,76739
2097,6895044,Construction,Male,Total,Minority,Total reporting,22207,,0,151025
2098,876227,Construction,Male,Total,Minority,Item not reported,5857,,0,23099
2099,1718253,Construction,Equally male/female,Total,Minority,All firms,7311,,0,39327
2100,0,Construction,Equally male/female,Total,Minority,Federal government,0,S,0,0
2101,0,Construction,Equally male/female,Total,Minority,State and local government,0,S,0,0
2102,399974,Construction,Equally male/female,Total,Minority,Other businesses,1139,,0,8897
2103,0,Construction,Equally male/female,Total,Minority,Other organizations,0,D,0,0
2104,371298,Construction,Equally male/female,Total,Minority,Individuals,1798,,0,9276
2105,732806,Construction,Equally male/female,Total,Minority,Total reporting,2497,,0,16259
2106,104345,Construction,Equally male/female,Total,Minority,Item not reported,736,,0,3032
2107,3276629,Construction,Total,Total,Equally minority/nonminority,All firms,8174,,0,62410
2108,0,Construction,Total,Total,Equally minority/nonminority,Federal government,0,D,0,0
2109,0,Construction,Total,Total,Equally minority/nonminority,State and local government,0,S,0,0
2110,771291,Construction,Total,Total,Equally minority/nonminority,Other businesses,1651,,0,17487
2111,0,Construction,Total,Total,Equally minority/nonminority,Other organizations,0,S,0,0
2112,864027,Construction,Total,Total,Equally minority/nonminority,Individuals,2786,,0,18636
2113,1219650,Construction,Total,Total,Equally minority/nonminority,Total reporting,3540,,0,26166
2114,118506,Construction,Total,Total,Equally minority/nonminority,Item not reported,595,,0,2302
2115,850768,Construction,Male,Total,Equally minority/nonminority,All firms,1649,,0,14442
2116,0,Construction,Male,Total,Equally minority/nonminority,Federal government,0,D,0,0
2117,0,Construction,Male,Total,Equally minority/nonminority,State and local government,0,S,0,0
2118,0,Construction,Male,Total,Equally minority/nonminority,Other businesses,0,S,0,0
2119,0,Construction,Male,Total,Equally minority/nonminority,Other organizations,0,D,0,0
2120,268924,Construction,Male,Total,Equally minority/nonminority,Individuals,564,,0,4406
2121,383843,Construction,Male,Total,Equally minority/nonminority,Total reporting,701,,0,5712
2122,0,Construction,Male,Total,Equally minority/nonminority,Item not reported,0,S,0,0
2123,2422096,Construction,Equally male/female,Total,Equally minority/nonminority,All firms,6491,,0,47878
2124,0,Construction,Equally male/female,Total,Equally minority/nonminority,State and local government,0,S,0,0
2125,548683,Construction,Equally male/female,Total,Equally minority/nonminority,Other businesses,1285,,0,14153
2126,0,Construction,Equally male/female,Total,Equally minority/nonminority,Other organizations,0,D,0,0
2127,595103,Construction,Equally male/female,Total,Equally minority/nonminority,Individuals,2222,,0,14230
2128,835807,Construction,Equally male/female,Total,Equally minority/nonminority,Total reporting,2839,,0,20454
2129,94079,Construction,Equally male/female,Total,Equally minority/nonminority,Item not reported,455,,0,1782
2130,317962054,Construction,Total,Total,Nonminority,All firms,617676,,0,5264974
2131,7063036,Construction,Total,Total,Nonminority,Federal government,5907,,0,106278
2132,32283959,Construction,Total,Total,Nonminority,State and local government,31850,,0,502186
2133,84242360,Construction,Total,Total,Nonminority,Other businesses,120406,,0,1419514
2134,7824738,Construction,Total,Total,Nonminority,Other organizations,11126,,0,129735
2135,53873982,Construction,Total,Total,Nonminority,Individuals,194384,,0,1085488
2136,123387447,Construction,Total,Total,Nonminority,Total reporting,269048,,0,2160762
2137,16996840,Construction,Total,Total,Nonminority,Item not reported,64095,,0,346517
2138,31896885,Construction,Female,Total,Nonminority,All firms,50441,,0,509562
2139,1303833,Construction,Female,Total,Nonminority,Federal government,1203,,0,16157
2140,5213657,Construction,Female,Total,Nonminority,State and local government,5072,,0,72861
2141,9508005,Construction,Female,Total,Nonminority,Other businesses,12766,,0,159485
2142,916062,Construction,Female,Total,Nonminority,Other organizations,1327,,0,13135
2143,3711651,Construction,Female,Total,Nonminority,Individuals,12751,,0,76235
2144,13106183,Construction,Female,Total,Nonminority,Total reporting,22829,,0,219823
2145,1767097,Construction,Female,Total,Nonminority,Item not reported,5176,,0,35640
2146,254960047,Construction,Male,Total,Nonminority,All firms,480777,,0,4186005
2147,5265790,Construction,Male,Total,Nonminority,Federal government,3918,,0,80662
2148,24622858,Construction,Male,Total,Nonminority,State and local government,23627,,0,383538
2149,65460091,Construction,Male,Total,Nonminority,Other businesses,92559,,0,1107420
2150,6010709,Construction,Male,Total,Nonminority,Other organizations,8501,,0,99902
2151,42817344,Construction,Male,Total,Nonminority,Individuals,151100,,0,853457
2152,95904716,Construction,Male,Total,Nonminority,Total reporting,207304,,0,1679262
2153,13051465,Construction,Male,Total,Nonminority,Item not reported,50416,,0,264601
2154,3163,Manufacturing,Equally male/female,Total,Equally minority/nonminority,Federal government,7,,0,138
2155,4782,Manufacturing,Equally male/female,Total,Equally minority/nonminority,State and local government,27,,0,195
2156,161947,Manufacturing,Equally male/female,Total,Equally minority/nonminority,Other businesses,519,,0,4173
2157,0,Manufacturing,Equally male/female,Total,Equally minority/nonminority,Other organizations,0,S,0,0
2158,101685,Manufacturing,Equally male/female,Total,Equally minority/nonminority,Individuals,621,,0,2995
2159,222835,Manufacturing,Equally male/female,Total,Equally minority/nonminority,Total reporting,913,,0,5911
2160,18634,Manufacturing,Equally male/female,Total,Equally minority/nonminority,Item not reported,90,,0,471
2161,261087858,Manufacturing,Total,Total,Nonminority,All firms,209591,,0,5174304
2162,3499143,Manufacturing,Total,Total,Nonminority,Federal government,2967,,0,65768
2163,5004110,Manufacturing,Total,Total,Nonminority,State and local government,8413,,0,103213
2164,62626547,Manufacturing,Total,Total,Nonminority,Other businesses,74280,,0,1304242
2165,2735683,Manufacturing,Total,Total,Nonminority,Other organizations,5578,,0,61116
2166,13930166,Manufacturing,Total,Total,Nonminority,Individuals,38266,,0,362928
2167,67959925,Manufacturing,Total,Total,Nonminority,Total reporting,92137,,0,1446703
2168,4744262,Manufacturing,Total,Total,Nonminority,Item not reported,11494,,0,108049
2169,28347521,Manufacturing,Female,Total,Nonminority,All firms,31286,,0,587807
2170,458693,Manufacturing,Female,Total,Nonminority,Federal government,477,,0,10426
2171,537681,Manufacturing,Female,Total,Nonminority,State and local government,1773,,0,12938
2172,5545819,Manufacturing,Female,Total,Nonminority,Other businesses,9904,,0,124817
2173,387865,Manufacturing,Female,Total,Nonminority,Other organizations,1101,,0,9408
2174,1576598,Manufacturing,Female,Total,Nonminority,Individuals,6429,,0,47977
2175,6228239,Manufacturing,Female,Total,Nonminority,Total reporting,13237,,0,147494
2176,374616,Manufacturing,Female,Total,Nonminority,Item not reported,1738,,0,11082
2177,210813928,Manufacturing,Male,Total,Nonminority,All firms,146521,,0,4093084
2178,2879611,Manufacturing,Male,Total,Nonminority,Federal government,2247,,0,52152
2179,0,Manufacturing,Male,Total,Nonminority,State and local government,0,S,0,0
2180,51654680,Manufacturing,Male,Total,Nonminority,Other businesses,53272,,0,1052466
2181,2025639,Manufacturing,Male,Total,Nonminority,Other organizations,3569,,0,43661
2182,10148758,Manufacturing,Male,Total,Nonminority,Individuals,24555,,0,252764
2183,55629064,Manufacturing,Male,Total,Nonminority,Total reporting,64605,,0,1150926
2184,3834942,Manufacturing,Male,Total,Nonminority,Item not reported,7940,,0,82778
2185,21926409,Manufacturing,Equally male/female,Total,Nonminority,All firms,31785,,0,493413
2186,160839,Manufacturing,Equally male/female,Total,Nonminority,Federal government,244,,0,3190
2187,476050,Manufacturing,Equally male/female,Total,Nonminority,State and local government,1449,,0,12602
2188,5426049,Manufacturing,Equally male/female,Total,Nonminority,Other businesses,11103,,0,126958
2189,322180,Manufacturing,Equally male/female,Total,Nonminority,Other organizations,907,,0,8046
2190,2204810,Manufacturing,Equally male/female,Total,Nonminority,Individuals,7279,,0,62187
2191,6102622,Manufacturing,Equally male/female,Total,Nonminority,Total reporting,14296,,0,148283
2192,534704,Manufacturing,Equally male/female,Total,Nonminority,Item not reported,1815,,0,14189
2193,20322066,Manufacturing,Total,Total,Total,All firms,16805,,0,397562
2194,358097,Manufacturing,Total,Total,Total,Federal government,460,,0,6338
2195,250463,Manufacturing,Total,Total,Total,State and local government,640,,0,5280
2196,4733252,Manufacturing,Total,Total,Total,Other businesses,5686,,0,98473
2197,249965,Manufacturing,Total,Total,Total,Other organizations,338,,0,4752
2198,750701,Manufacturing,Total,Total,Total,Individuals,2720,,0,19427
2199,4990698,Manufacturing,Total,Total,Total,Total reporting,7095,,0,105608
2200,429554,Manufacturing,Total,Total,Total,Item not reported,953,,0,9604
2201,0,Manufacturing,Female,Total,Total,All firms,0,S,0,0
2202,0,Manufacturing,Female,Total,Total,Federal government,0,S,0,0
2203,0,Manufacturing,Female,Total,Total,State and local government,0,S,0,0
2204,15080,Manufacturing,Female,Total,Total,Other businesses,78,,0,552
2205,0,Manufacturing,Female,Total,Total,Other organizations,0,D,0,0
2206,0,Manufacturing,Female,Total,Total,Individuals,0,S,0,0
2207,18878,Manufacturing,Female,Total,Total,Total reporting,151,,0,724
2208,1307,Manufacturing,Female,Total,Total,Item not reported,21,,0,97
2209,20081077,Manufacturing,Male,Total,Total,All firms,16338,,0,391884
2210,350203,Manufacturing,Male,Total,Total,Federal government,393,,0,6030
2211,246916,Manufacturing,Male,Total,Total,State and local government,625,,0,5193
2212,4714935,Manufacturing,Male,Total,Total,Other businesses,5582,,0,97791
2213,248380,Manufacturing,Male,Total,Total,Other organizations,333,,0,4697
2214,737233,Manufacturing,Male,Total,Total,Individuals,2607,,0,18866
2215,4966683,Manufacturing,Male,Total,Total,Total reporting,6905,,0,104686
2216,427181,Manufacturing,Male,Total,Total,Item not reported,890,,0,9460
2217,24843,Manufacturing,Equally male/female,Total,Total,All firms,152,,0,728
2218,0,Manufacturing,Equally male/female,Total,Total,State and local government,0,D,0,0
2219,3237,Manufacturing,Equally male/female,Total,Total,Other businesses,26,,0,130
2220,0,Manufacturing,Equally male/female,Total,Total,Other organizations,0,D,0,0
2221,3908,Manufacturing,Equally male/female,Total,Total,Individuals,22,,0,137
2222,5137,Manufacturing,Equally male/female,Total,Total,Total reporting,39,,0,197
2223,0,Manufacturing,Equally male/female,Total,Total,Item not reported,0,D,0,0
2224,0,Manufacturing,Total,Hispanic,Total,All firms,0,S,0,0
2225,0,Manufacturing,Total,Hispanic,Total,Federal government,0,S,0,0
2226,0,Manufacturing,Total,Hispanic,Total,State and local government,0,D,0,0
2227,40728,Manufacturing,Total,Hispanic,Total,Other businesses,119,,0,1041
2228,0,Manufacturing,Total,Hispanic,Total,Other organizations,0,D,0,0
2229,6337,Manufacturing,Total,Hispanic,Total,Individuals,35,,0,247
2230,63759,Manufacturing,Total,Hispanic,Total,Total reporting,181,,0,1500
2231,0,Manufacturing,Total,Hispanic,Total,Item not reported,0,S,0,0
2232,20020976,Manufacturing,Total,Non-Hispanic,Total,All firms,16404,,0,391460
2233,335175,Manufacturing,Total,Non-Hispanic,Total,Federal government,415,,0,5938
2234,249683,Manufacturing,Total,Non-Hispanic,Total,State and local government,637,,0,5265
2235,4692524,Manufacturing,Total,Non-Hispanic,Total,Other businesses,5566,,0,97433
2236,248324,Manufacturing,Total,Non-Hispanic,Total,Other organizations,332,,0,4710
2237,744364,Manufacturing,Total,Non-Hispanic,Total,Individuals,2686,,0,19180
2238,4926939,Manufacturing,Total,Non-Hispanic,Total,Total reporting,6913,,0,104108
2239,421960,Manufacturing,Total,Non-Hispanic,Total,Item not reported,942,,0,9471
2240,0,Manufacturing,Total,Total,Minority,All firms,0,S,0,0
2241,0,Manufacturing,Total,Total,Minority,Federal government,0,S,0,0
2242,2786,Manufacturing,Total,Total,Minority,State and local government,36,,0,60
2243,58398,Manufacturing,Total,Total,Minority,Other businesses,208,,0,1583
2244,0,Manufacturing,Total,Total,Minority,Other organizations,0,D,0,0
2245,11821,Manufacturing,Total,Total,Minority,Individuals,67,,0,475
2246,86616,Manufacturing,Total,Total,Minority,Total reporting,288,,0,2202
2247,0,Manufacturing,Total,Total,Minority,Item not reported,0,S,0,0
2248,1284,Manufacturing,Total,Total,Equally minority/nonminority,All firms,18,,0,50
2249,0,Manufacturing,Total,Total,Equally minority/nonminority,Other businesses,0,D,0,0
2250,0,Manufacturing,Total,Total,Equally minority/nonminority,Total reporting,0,D,0,0
2251,19808395,Manufacturing,Total,Total,Nonminority,All firms,15958,,0,386380
2252,332831,Manufacturing,Total,Total,Nonminority,Federal government,383,,0,5900
2253,247677,Manufacturing,Total,Total,Nonminority,State and local government,604,,0,5219
2254,4674669,Manufacturing,Total,Total,Nonminority,Other businesses,5475,,0,96885
2255,248324,Manufacturing,Total,Total,Nonminority,Other organizations,332,,0,4710
2256,738880,Manufacturing,Total,Total,Nonminority,Individuals,2655,,0,18952
2257,4903898,Manufacturing,Total,Total,Nonminority,Total reporting,6804,,0,103400
2258,0,Manufacturing,Total,Total,Nonminority,Item not reported,0,S,0,0
2259,5464999,Manufacturing,Total,Total,Total,All firms,8338,,0,118929
2260,0,Manufacturing,Total,Total,Total,Federal government,0,S,0,0
2261,86195,Manufacturing,Total,Total,Total,State and local government,292,,0,2373
2262,1300435,Manufacturing,Total,Total,Total,Other businesses,2922,,0,30661
2263,25030,Manufacturing,Total,Total,Total,Other organizations,150,,0,833
2264,375933,Manufacturing,Total,Total,Total,Individuals,1703,,0,11140
2265,1458629,Manufacturing,Total,Total,Total,Total reporting,3766,,0,35616
2266,120560,Manufacturing,Total,Total,Total,Item not reported,396,,0,3021
2267,30177,Manufacturing,Female,Total,Total,All firms,37,,0,522
2268,670,Manufacturing,Female,Total,Total,Other businesses,7,,0,18
2269,563,Manufacturing,Female,Total,Total,Individuals,8,,0,19
2270,811,Manufacturing,Female,Total,Total,Total reporting,10,,0,26
2271,0,Manufacturing,Female,Total,Total,Item not reported,0,D,0,0
2272,2822946,Manufacturing,Male,Total,Total,All firms,2761,,0,57228
2273,0,Manufacturing,Male,Total,Total,Federal government,0,S,0,0
2274,0,Manufacturing,Male,Total,Total,State and local government,0,S,0,0
2275,679478,Manufacturing,Male,Total,Total,Other businesses,974,,0,15623
2276,2218,Manufacturing,Male,Total,Total,Other organizations,17,,0,118
2277,116283,Manufacturing,Male,Total,Total,Individuals,383,,0,3165
2278,735894,Manufacturing,Male,Total,Total,Total reporting,1185,,0,16929
2279,33477,Manufacturing,Male,Total,Total,Item not reported,108,,0,646
2280,2611875,Manufacturing,Equally male/female,Total,Total,All firms,5540,,0,61179
2281,0,Manufacturing,Equally male/female,Total,Total,Federal government,0,S,0,0
2282,41201,Manufacturing,Equally male/female,Total,Total,State and local government,221,,0,1445
2283,620287,Manufacturing,Equally male/female,Total,Total,Other businesses,1940,,0,15020
2284,22813,Manufacturing,Equally male/female,Total,Total,Other organizations,133,,0,714
2285,259086,Manufacturing,Equally male/female,Total,Total,Individuals,1311,,0,7957
2286,721924,Manufacturing,Equally male/female,Total,Total,Total reporting,2571,,0,18661
2287,86805,Manufacturing,Equally male/female,Total,Total,Item not reported,285,,0,2358
2288,0,Manufacturing,Total,Hispanic,Total,All firms,0,S,0,0
2289,0,Manufacturing,Total,Hispanic,Total,Federal government,0,D,0,0
2290,0,Manufacturing,Total,Hispanic,Total,State and local government,0,D,0,0
2291,0,Manufacturing,Total,Hispanic,Total,Other businesses,0,S,0,0
2292,0,Manufacturing,Total,Hispanic,Total,Other organizations,0,S,0,0
2293,3363,Manufacturing,Total,Hispanic,Total,Individuals,12,,0,136
2294,3870,Manufacturing,Total,Hispanic,Total,Total reporting,15,,0,154
2295,0,Manufacturing,Total,Hispanic,Total,Item not reported,0,D,0,0
2296,0,Manufacturing,Total,Equally Hispanic/non-Hispanic,Total,All firms,0,S,0,0
2297,0,Manufacturing,Total,Equally Hispanic/non-Hispanic,Total,Federal government,0,D,0,0
2298,573,Manufacturing,Total,Equally Hispanic/non-Hispanic,Total,State and local government,8,,0,23
2299,6716,Manufacturing,Total,Equally Hispanic/non-Hispanic,Total,Other businesses,86,,0,262
2300,0,Manufacturing,Total,Equally Hispanic/non-Hispanic,Total,Other organizations,0,D,0,0
2301,5716,Manufacturing,Total,Equally Hispanic/non-Hispanic,Total,Individuals,98,,0,286
2302,9276,Manufacturing,Total,Equally Hispanic/non-Hispanic,Total,Total reporting,118,,0,379
2303,1026,Manufacturing,Total,Equally Hispanic/non-Hispanic,Total,Item not reported,9,,0,52
2304,5331517,Manufacturing,Total,Non-Hispanic,Total,All firms,8054,,0,115660
2305,0,Manufacturing,Total,Non-Hispanic,Total,Federal government,0,S,0,0
2306,84517,Manufacturing,Total,Non-Hispanic,Total,State and local government,280,,0,2316
2307,47111974,Construction,Total,Total,Total,State and local government,35853,,0,688501
2308,114880958,Construction,Total,Total,Total,Other businesses,136221,,0,1845463
2309,12849647,Construction,Total,Total,Total,Other organizations,12014,,0,189180
2310,65033560,Construction,Total,Total,Total,Individuals,216825,,0,1263603
2311,165956102,Construction,Total,Total,Total,Total reporting,302107,,0,2759350
2312,39623316,Construction,Total,Total,Total,Item not reported,75163,,0,645195
2313,36326015,Construction,Female,Total,Total,All firms,63052,,0,599009
2314,1521242,Construction,Female,Total,Total,Federal government,1571,,0,19932
2315,5589811,Construction,Female,Total,Total,State and local government,5796,,0,80881
2316,10516126,Construction,Female,Total,Total,Other businesses,14754,,0,184542
2317,984357,Construction,Female,Total,Total,Other organizations,1425,,0,16035
2318,4134525,Construction,Female,Total,Total,Individuals,14887,,0,86037
2319,14580292,Construction,Female,Total,Total,Total reporting,26839,,0,255275
2320,1971862,Construction,Female,Total,Total,Item not reported,6689,,0,41844
2321,273701910,Construction,Male,Total,Total,All firms,543262,,0,4563780
2322,6134663,Construction,Male,Total,Total,Federal government,4848,,0,96918
2323,26778176,Construction,Male,Total,Total,State and local government,26244,,0,419559
2324,69527260,Construction,Male,Total,Total,Other businesses,103441,,0,1194193
2325,6125680,Construction,Male,Total,Total,Other organizations,9120,,0,102951
2326,46127142,Construction,Male,Total,Total,Individuals,167083,,0,934602
2327,103183603,Construction,Male,Total,Total,Total reporting,230214,,0,1835999
2328,13952120,Construction,Male,Total,Total,Item not reported,56413,,0,288220
2329,35245470,Construction,Equally male/female,Total,Total,All firms,100260,,0,656613
2330,510584,Construction,Equally male/female,Total,Total,Federal government,905,,0,9994
2331,2701824,Construction,Equally male/female,Total,Total,State and local government,3547,,0,51431
2332,10222922,Construction,Equally male/female,Total,Total,Other businesses,17506,,0,175659
2333,1291546,Manufacturing,Total,Non-Hispanic,Total,Other businesses,2823,,0,30323
2334,22969,Manufacturing,Total,Non-Hispanic,Total,Other organizations,136,,0,761
2335,366854,Manufacturing,Total,Non-Hispanic,Total,Individuals,1593,,0,10718
2336,1445483,Manufacturing,Total,Non-Hispanic,Total,Total reporting,3632,,0,35082
2337,112242,Manufacturing,Total,Non-Hispanic,Total,Item not reported,378,,0,2677
2338,0,Manufacturing,Total,Total,Minority,All firms,0,S,0,0
2339,0,Manufacturing,Total,Total,Minority,Federal government,0,D,0,0
2340,0,Manufacturing,Total,Total,Minority,State and local government,0,D,0,0
2341,0,Manufacturing,Total,Total,Minority,Other businesses,0,S,0,0
2342,0,Manufacturing,Total,Total,Minority,Other organizations,0,S,0,0
2343,0,Manufacturing,Total,Total,Minority,Individuals,0,S,0,0
2344,11451,Manufacturing,Total,Total,Minority,Total reporting,43,,0,295
2345,0,Manufacturing,Total,Total,Minority,Item not reported,0,D,0,0
2346,0,Manufacturing,Total,Total,Equally minority/nonminority,All firms,0,S,0,0
2347,0,Manufacturing,Total,Total,Equally minority/nonminority,Federal government,0,D,0,0
2348,1095,Manufacturing,Total,Total,Equally minority/nonminority,State and local government,11,,0,68
2349,18754,Manufacturing,Total,Total,Equally minority/nonminority,Other businesses,127,,0,595
2350,918,Manufacturing,Total,Total,Equally minority/nonminority,Other organizations,9,,0,60
2351,10626,Manufacturing,Total,Total,Equally minority/nonminority,Individuals,126,,0,460
2352,23582,Manufacturing,Total,Total,Equally minority/nonminority,Total reporting,164,,0,771
2353,1028,Manufacturing,Total,Total,Equally minority/nonminority,Item not reported,11,,0,53
2354,5129973,Manufacturing,Total,Total,Nonminority,All firms,7814,,0,112126
2355,0,Manufacturing,Total,Total,Nonminority,Federal government,0,S,0,0
2356,83995,Manufacturing,Total,Total,Nonminority,State and local government,277,,0,2271
2357,724009247,Manufacturing,Total,Total,Total,All firms,246442,,0,12006094
2358,51753584,Manufacturing,Total,Total,Total,Federal government,3626,,0,610354
2359,22574775,Manufacturing,Total,Total,Total,State and local government,9413,,0,378556
2360,284114187,Manufacturing,Total,Total,Total,Other businesses,85080,,0,4581499
2361,38890798,Manufacturing,Total,Total,Total,Other organizations,6278,,0,499141
2362,59463259,Manufacturing,Total,Total,Total,Individuals,43504,,0,1020200
2363,315676058,Manufacturing,Total,Total,Total,Total reporting,106017,,0,5027884
2364,67842065,Manufacturing,Total,Total,Total,Item not reported,17620,,0,1104038
2365,31125539,Manufacturing,Female,Total,Total,All firms,36683,,0,655512
2366,487248,Manufacturing,Female,Total,Total,Federal government,564,,0,11068
2367,581321,Manufacturing,Female,Total,Total,State and local government,1923,,0,14316
2368,6162287,Manufacturing,Female,Total,Total,Other businesses,11206,,0,142216
2369,410891,Manufacturing,Female,Total,Total,Other organizations,1196,,0,9923
2370,1767285,Manufacturing,Female,Total,Total,Individuals,7433,,0,54314
2371,1272187,Manufacturing,Total,Total,Nonminority,Other businesses,2762,,0,29867
2372,16692,Manufacturing,Total,Total,Nonminority,Other organizations,119,,0,637
2373,355930,Manufacturing,Total,Total,Nonminority,Individuals,1545,,0,10449
2374,1423596,Manufacturing,Total,Total,Nonminority,Total reporting,3559,,0,34551
2375,112153,Manufacturing,Total,Total,Nonminority,Item not reported,374,,0,2671
2376,252883479,Manufacturing,Total,Total,Total,All firms,211135,,0,5088723
2377,3301403,Manufacturing,Total,Total,Total,Federal government,2694,,0,63219
2378,0,Manufacturing,Total,Total,Total,State and local government,0,S,0,0
2379,60484504,Manufacturing,Total,Total,Total,Other businesses,72770,,0,1267600
2380,2621880,Manufacturing,Total,Total,Total,Other organizations,5551,,0,59513
2381,13842771,Manufacturing,Total,Total,Total,Individuals,38537,,0,363296
2382,65842956,Manufacturing,Total,Total,Total,Total reporting,91119,,0,1412181
2383,4607186,Manufacturing,Total,Total,Total,Item not reported,11939,,0,106702
2384,30879216,Manufacturing,Female,Total,Total,All firms,36329,,0,650041
2385,479354,Manufacturing,Female,Total,Total,Federal government,497,,0,10760
2386,578803,Manufacturing,Female,Total,Total,State and local government,1911,,0,14254
2387,6146538,Manufacturing,Female,Total,Total,Other businesses,11120,,0,141646
2388,410336,Manufacturing,Female,Total,Total,Other organizations,1194,,0,9892
2389,1757163,Manufacturing,Female,Total,Total,Individuals,7334,,0,53870
2390,6893218,Manufacturing,Female,Total,Total,Total reporting,15008,,0,166941
2391,443929,Manufacturing,Female,Total,Total,Item not reported,2005,,0,12937
2392,200169215,Manufacturing,Male,Total,Total,All firms,143179,,0,3943706
2393,2668872,Manufacturing,Male,Total,Total,Federal government,2013,,0,49408
2394,0,Manufacturing,Male,Total,Total,State and local government,0,S,0,0
2395,49000541,Manufacturing,Male,Total,Total,Other businesses,51212,,0,999851
2396,1889867,Manufacturing,Male,Total,Total,Other organizations,3476,,0,41713
2397,6912907,Manufacturing,Female,Total,Total,Total reporting,15170,,0,167691
2398,445514,Manufacturing,Female,Total,Total,Item not reported,2028,,0,13050
2399,223073238,Manufacturing,Male,Total,Total,All firms,162278,,0,4392817
2400,3064427,Manufacturing,Male,Total,Total,Federal government,2493,,0,56152
2401,0,Manufacturing,Male,Total,Total,State and local government,0,S,0,0
2402,54394953,Manufacturing,Male,Total,Total,Other businesses,57770,,0,1113265
2403,2140465,Manufacturing,Male,Total,Total,Other organizations,3827,,0,46529
2404,10783648,Manufacturing,Male,Total,Total,Individuals,27008,,0,270566
2405,58636308,Manufacturing,Male,Total,Total,Total reporting,70451,,0,1219458
2406,4127087,Manufacturing,Male,Total,Total,Item not reported,9132,,0,90520
2407,24471766,Manufacturing,Equally male/female,Total,Total,All firms,37317,,0,556884
2408,171101,Manufacturing,Equally male/female,Total,Total,Federal government,261,,0,3498
2409,507320,Manufacturing,Equally male/female,Total,Total,State and local government,1534,,0,13295
2410,5960950,Manufacturing,Equally male/female,Total,Total,Other businesses,12405,,0,141253
2411,345519,Manufacturing,Equally male/female,Total,Total,Other organizations,1015,,0,8646
2412,2418472,Manufacturing,Equally male/female,Total,Total,Individuals,8520,,0,68983
2413,6743069,Manufacturing,Equally male/female,Total,Total,Total reporting,16359,,0,166256
2414,584699,Manufacturing,Equally male/female,Total,Total,Item not reported,2128,,0,15756
2415,5841297,Manufacturing,Total,Hispanic,Total,All firms,10248,,0,137554
2416,100000,Manufacturing,Total,Hispanic,Total,Federal government,114,,0,1739
2417,152431,Manufacturing,Total,Hispanic,Total,State and local government,343,,0,3406
2418,1746545,Manufacturing,Total,Hispanic,Total,Other businesses,2738,,0,40467
2419,51962,Manufacturing,Total,Hispanic,Total,Other organizations,145,,0,1410
2420,488956,Manufacturing,Total,Hispanic,Total,Individuals,1910,,0,14525
2421,1958988,Manufacturing,Total,Hispanic,Total,Total reporting,3857,,0,47201
2422,149281,Manufacturing,Total,Hispanic,Total,Item not reported,954,,0,5662
